RefDes,Value,MPN,Manufacturer,Qty
"Q1,Q2","NFET_SO8","BSC0902NSI","Infineon",2
"C1,C2,C3,C4,C14","100nF","CL05B104KO5NNNC","Samsung",5
"C5,C7,C8","10uF","CL10A106KP8NNNC","Samsung",3
"R3,R4","SenseResistor","CSS2H-2512R-L500F","Bourns",2
"U1","CCG6DF","CYPD6227-96BZXI","Infineon",1
"C6,C9,C10,C11,C12,C13","1uF","GRM155R61A105KE15D","Murata",6
"J1","IfaceHeader","HDR-1x20-2.54","Generic",1
"R7","10kohm","RC0402FR-0710KL","Yageo",1
"R1,R2,R5,R6","5.1kohm","RC0402FR-075K1L","Yageo",4
"J2,J3","USB_C_Receptacle_2_0","TYPE-C-31-M-12","HRO",2
