RefDes,Value,MPN,Manufacturer,Qty
"Q1","NFET_SO8","BSC0902NSI","Infineon",1
"C1,C2,C10","100nF","CL05B104KO5NNNC","Samsung",3
"C3,C5,C6","10uF","CL10A106KP8NNNC","Samsung",3
"R5","SenseResistor","CSS2H-2512R-L500F","Bourns",1
"U1","CCG6SF","CYPD6127-48LQXI","Infineon",1
"C4,C7,C8,C9","1uF","GRM155R61A105KE15D","Murata",4
"J1","IfaceHeader","HDR-1x16-2.54","Generic",1
"R6","10kohm","RC0402FR-0710KL","Yageo",1
"R1,R2,R3,R4","5.1kohm","RC0402FR-075K1L","Yageo",4
"J2","USB_C_Receptacle_2_0","TYPE-C-31-M-12","HRO",1
