RefDes,Value,MPN,Manufacturer,Qty
"C1,C2,C3,C4,C7,C17","100nF","CL05B104KO5NNNC","Samsung",6
"C5,C8,C9,C10","10uF","CL10A106KP8NNNC","Samsung",4
"L1,L2,L3","PowerInductor","FCUL1040-H-R36M","Toko",3
"C6,C11,C12,C13,C14,C15,C16","1uF","GRM155R61A105KE15D","Murata",7
"J1","VcoreHeader","HDR-1x14-2.54","Generic",1
"Q1,Q2,Q3,Q4,Q5,Q6","NFET_SO8","IRF7413","Infineon",6
"RT1,RT2","NTC_100k","NCP18WF104J03RB","Murata",2
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R14,R15","10kohm","RC0402FR-0710KL","Yageo",12
"R11,R12,R13","5.1kohm","RC0402FR-075K1L","Yageo",3
"U2","TPS51601A","TPS51601ADRB","Texas Instruments",1
"U1","TPS59650","TPS59650RSLR","Texas Instruments",1
