Manufacturer,Comment,Designator,Footprint
"Wurth Elektronik","150060GS75000","D1","FP_LED_0603_1608Metric_WURTH"
"Molex","43045-0212","J4,J5","FP_Molex_43045_0212"
"Molex","43045-0412","J2,J3","FP_Molex_43045_0412"
"Abracon","ABM8-272-T3","Y1","FP_Crystal_SMD_3225_4Pin_3_2x2_5mm"
"Yageo","CC0402JRNPO8BN150","C8,C9","CHIP_0402"
"Yageo","CC0402KRX5R6BB104","C4,C6,C7,C10,C13,C14,C15","CHIP_0402"
"Yageo","CC0402KRX7R7BB104","C1,C2","CHIP_0402"
"Yageo","CC0603KRX5R6BB105","C5","CHIP_0603"
"Yageo","CC0603KRX5R6BB475","C3","CHIP_0603"
"Yageo","CC0805KRX5R8BB106","C11,C12,C16,C17,C18,C19","CHIP_0805"
"Texas Instruments","DRV8231ADDAR","U3","FP_TI_DRV8231A_DDA"
"Joulwatt","JW5033S","U4","FP_JW5033S_SOT236"
"Murata","LQH2MCN3R3M52L","L1","FP_L_LQH2MCN_2016Metric"
"PCB Fabrication","MOUNTING-HOLE-M2-NPTH-2.2MM","M1,M2,M3,M4","FP_MOUNTING_HOLE_M2_NPTH_2P2"
"Yageo","RC0402FR-07100KL","R7","CHIP_0402"
"Yageo","RC0402FR-0710KL","R1,R3,R4,R5","CHIP_0402"
"Yageo","RC0402FR-0716KL","R8","CHIP_0402"
"Yageo","RC0402FR-07470RL","R6","CHIP_0402"
"Yageo","RC0402FR-0749K9L","R9","CHIP_0402"
"Yageo","RC0402FR-07560RL","R2","CHIP_0402"
"Texas Instruments","SN65HVD230DR","U1","KICAD_SOIC_8_3_9X4_9MM_P1_27MM"
"Samtec","SSW-103-22-SM-D-VS","J1,J6","FP_Socket_2x3_254_SMD"
"STMicroelectronics","STM32F072C8T6","U2","QFP50P900X900X160_48N"
