capacitor,bypassed_component,bypassed_pin,capacitance
C9,U2,1,100
C9,U2,11,100
C9,U2,20,100
C9,U2,30,100
C9,U2,38,100
C9,U2,45,100
C10,U2,1,100
C10,U2,11,100
C10,U2,20,100
C10,U2,30,100
C10,U2,38,100
C10,U2,45,100
C11,U2,1,100
C11,U2,11,100
C11,U2,20,100
C11,U2,30,100
C11,U2,38,100
C11,U2,45,100
C12,U2,1,100
C12,U2,11,100
C12,U2,20,100
C12,U2,30,100
C12,U2,38,100
C12,U2,45,100
C13,U2,1,100
C13,U2,11,100
C13,U2,20,100
C13,U2,30,100
C13,U2,38,100
C13,U2,45,100
C14,U2,1,100
C14,U2,11,100
C14,U2,20,100
C14,U2,30,100
C14,U2,38,100
C14,U2,45,100
C2,U2,54,100
C3,U2,6,100
C3,U2,23,100
C3,U2,39,100
C4,U2,6,100
C4,U2,23,100
C4,U2,39,100
C5,U1,8,100
