Manufacturer,Comment,Designator,Footprint
"Wurth Elektronik","150060GS75000","D2","FP_LED_0603_1608Metric_WURTH"
"Abracon","ABM8-272-T3","Y1","FP_Crystal_SMD_3225_4Pin_3_2x2_5mm"
"Yageo","CC0201JRNPO8BN150","C18,C19","CHIP_0201"
"Yageo","CC0201KRX7R8BB102","C17","CHIP_0201"
"Yageo","CC0402KRX5R5BB475","C7,C8,C15,C16","CHIP_0402"
"Yageo","CC0402KRX7R7BB104","C2,C3,C4,C5,C9,C10,C11,C12,C13,C14","CHIP_0402"
"Raspberry Pi","CON_PICO_3W","J2","FP_Pico_Castellated_3"
"Raspberry Pi","CON_PICO_40W","J1","FP_Pico_Castellated_40"
"Murata","DFE201612E-2R2M=P2","L2","FP_L_0806_2016Metric"
"Diodes Incorporated","DMG1012T-7","Q1","SOT3P100X160X80N"
"Murata","GRM188R60J476ME15","C1,C6","CHIP_0603"
"Murata","LQH2MCN3R3M52L","L1","FP_L_LQH2MCN_2016Metric"
"Nexperia","PMEG6010ELR","D1","FP_D_SOD_123W"
"Yageo","RC0201FR-07100KL","R5,R6,R8,R15,R16","CHIP_0201"
"Yageo","RC0201FR-07100RL","R9,R10","CHIP_0201"
"Yageo","RC0201FR-071RL","R1","CHIP_0201"
"Yageo","RC0201FR-0727RL","R3,R4","CHIP_0201"
"Yageo","RC0201FR-07470RL","R7","CHIP_0201"
"Yageo","RC0201FR-075K6L","R12","CHIP_0201"
"Yageo","RC0402FR-0710KL","R11","CHIP_0402"
"Yageo","RC0402FR-071KL","R2,R17","CHIP_0402"
"Yageo","RC0402FR-07200RL","R13","CHIP_0402"
"Yageo","RC0402FR-0733RL","R14","CHIP_0402"
"Yageo","RC0402FR-075K1L","R18,R19","CHIP_0402"
"Raspberry Pi","RP2350A","U2","QFN60N40P700X700_1EP340X340"
"Richtek","RT6150B-33GQW","U3","QFN10N50P250X250_1EP120X200"
"XKB","TP-1221U-K9K5325","SW1","FP_SW_SPST_TP1221U"
"HRO","TYPE-C-31-M-12","J3","FP_USB_C_Receptacle_HRO_TYPE_C_31_M_12"
"STMicroelectronics","USBLC6-2SC6","U4","FP_SOT_23_6"
"Winbond","W25Q32RVXHJQ","U1","QFN8N50P200X300_1EP61X220"
