Manufacturer,Comment,Designator,Footprint
"Abracon","ABS07-32.768KHZ-9-T","Y1","FP_Crystal_SMD_3215_2Pin_ABS07"
"Bosch Sensortec","BHI260AP","U4","LGA44P40_360X410"
"Bosch Sensortec","BME280","U1","FP_Bosch_BME280_LGA8_2_5x2_5mm"
"TDK","C3216X7R1C106K160AC","C32,C33,C34","CHIP_1206"
"Yageo","CC0402KRX5R6BB104","C8,C9,C10,C12,C14,C28,C29,C30,C36","CHIP_0402"
"Yageo","CC0402KRX5R6BB224","C15","CHIP_0402"
"Yageo","CC0402KRX5R6BB474","C20","CHIP_0402"
"Yageo","CC0603KRX5R6BB105","C3,C13,C17,C21,C23,C26,C27,C31,C37","CHIP_0603"
"Yageo","CC0603KRX5R6BB225","C5,C16,C22","CHIP_0603"
"Yageo","CC0603KRX5R6BB475","C4,C6,C7,C11,C24,C25,C35","CHIP_0603"
"Yageo","CC0805KRX5R8BB106","C18,C19","CHIP_0805"
"Murata","DFE201612E-2R2M=P2","L2","FP_L_0806_2016Metric"
"Hosonic","E1SB48E001G00E","Y2","FP_Crystal_SMD_2016_4Pin_E1SB"
"PCB Fabrication","MOUNTING-HOLE-M2-NPTH-2.2MM","M1,M2,M3,M4","FP_MOUNTING_HOLE_M2_NPTH_2P2"
"OCN Technology","OK-F302-31115","J3","FP_FPC_OK_F302_31115"
"Yageo","RC0402FR-07100KL","R13,R16","CHIP_0402"
"Yageo","RC0402FR-0710KL","R10,R11,R12","CHIP_0402"
"Yageo","RC0402FR-074K7L","R6,R7,R8,R9","CHIP_0402"
"Yageo","RC0402FR-075K1L","R1,R2","CHIP_0402"
"Yageo","RC0402FR-07604KL","R15","CHIP_0402"
"Yageo","RC0402FR-0786K6L","R14","CHIP_0402"
"Run-IC","RS0104YUTQH12","U9","QFN12N40P200X170"
"Richtek","RT6150BGQW","U11","QFN10N50P250X250_1EP120X200"
"Richtek","RT9080-33GQZ","U8","FP_Richtek_ZQFN4L_1X1"
"SiFli Technologies","SF32LB52EUB6","U6","FP_SiFli_SF32LB52X_QFN68L_7X7"
"SGMICRO","SGM2554AYN5G/TR","U10","FP_SGM2554_SOT235"
"Samtec","SSW-103-22-SM-D-VS","J1","FP_Socket_2x3_254_SMD"
"HRO","TYPE-C-31-M-12","J2","FP_USB_C_Receptacle_HRO_TYPE_C_31_M_12"
"STMicroelectronics","USBLC6-2SC6","U2","FP_SOT_23_6"
"Winbond","W25Q128JVSIQ","U3","SOIC8P127X790X216N"
"Sunlord","WPN201610U4R7MT","L1","FP_L_WPN201610U_2016Metric"
"Torex Semiconductor","XC6206P182MR-G","U7","SOT3P190X290X160N"
